term,estimate,std.error,statistic,p.value,CI_lower,CI_upper
(Intercept),0.008,0.188,0.04,0.968,-0.364,0.382
Middle nestling,-0.372,0.221,-1.681,0.093,-0.811,0.058
Last nestling,-0.481,0.269,-1.787,0.074,-1.016,0.043
Brood size,0.048,0.164,0.296,0.767,-0.277,0.375
Clutch size,0.11,0.18,0.611,0.541,-0.249,0.469
Helper,0.195,0.219,0.892,0.372,-0.242,0.635
Synchrony,-0.208,0.158,-1.321,0.186,-0.527,0.1
Three-pair group,0.174,0.31,0.56,0.576,-0.44,0.801
Middle nestling:Synchrony,0.287,0.22,1.308,0.191,-0.145,0.722
Last nestling:Synchrony,0.113,0.27,0.418,0.676,-0.426,0.644
sd (Intercept)|Location:Year,0.335,NA,NA,NA,0,0.698
sd (Intercept)|Year,0,NA,NA,NA,0,0.293
